region,District,TownType,Town,StreetType,Street,Address
Саратовская область,Новобурасский,п,Белоярский,ул,Первомайская,Саратовская область Новобурасский п Белоярский ул Первомайская
Саратовская область,Новобурасский,п,Белоярский,ул,Радаева,Саратовская область Новобурасский п Белоярский ул Радаева
Саратовская область,Ровенский,п,Владимирский,ул,Волгоградская,Саратовская область Ровенский п Владимирский ул Волгоградская
Саратовская область,Ровенский,п,Владимирский,ул,Садовая,Саратовская область Ровенский п Владимирский ул Садовая
Саратовская область,Ровенский,п,Владимирский,ул,Степная,Саратовская область Ровенский п Владимирский ул Степная
Саратовская область,Воскресенский,с,Воскресенское,ул,Вольская,Саратовская область Воскресенский с Воскресенское ул Вольская
Саратовская область,Воскресенский,с,Воскресенское,ул,Перспективная,Саратовская область Воскресенский с Воскресенское ул Перспективная
Саратовская область,Дергачевский,п,Дергачи,проезд,Больничный,Саратовская область Дергачевский п Дергачи проезд Больничный
Саратовская область,Дергачевский,п,Дергачи,ул,Вокзальная,Саратовская область Дергачевский п Дергачи ул Вокзальная
Саратовская область,Дергачевский,п,Дергачи,ул,Комсомольская,Саратовская область Дергачевский п Дергачи ул Комсомольская
Саратовская область,Дергачевский,п,Дергачи,ул,Ленина,Саратовская область Дергачевский п Дергачи ул Ленина
Саратовская область,Дергачевский,п,Дергачи,ул,Льва Толстого,Саратовская область Дергачевский п Дергачи ул Льва Толстого
Саратовская область,Дергачевский,п,Дергачи,ул,Максима Горького,Саратовская область Дергачевский п Дергачи ул Максима Горького
Саратовская область,Дергачевский,п,Дергачи,ул,Нефтянников,Саратовская область Дергачевский п Дергачи ул Нефтянников
Саратовская область,Дергачевский,п,Дергачи,ул,Новая,Саратовская область Дергачевский п Дергачи ул Новая
Саратовская область,Дергачевский,п,Дергачи,ул,Олимпийская,Саратовская область Дергачевский п Дергачи ул Олимпийская
Саратовская область,Дергачевский,п,Дергачи,ул,Советская,Саратовская область Дергачевский п Дергачи ул Советская
Саратовская область,Дергачевский,п,Дергачи,ул,Чапаева,Саратовская область Дергачевский п Дергачи ул Чапаева
Саратовская область,Дергачевский,п,Дергачи,ул,Элеваторная,Саратовская область Дергачевский п Дергачи ул Элеваторная
Саратовская область,Духовницкий,п,Духовницкое,ул,Гагарина,Саратовская область Духовницкий п Духовницкое ул Гагарина
Саратовская область,Духовницкий,п,Духовницкое,ул,Дома 8 Марта,Саратовская область Духовницкий п Духовницкое ул Дома 8 Марта
Саратовская область,Духовницкий,п,Духовницкое,ул,Молодежная,Саратовская область Духовницкий п Духовницкое ул Молодежная
Саратовская область,Духовницкий,п,Духовницкое,ул,Пугачевская,Саратовская область Духовницкий п Духовницкое ул Пугачевская
Саратовская область,Духовницкий,п,Духовницкое,ул,Чернышевского,Саратовская область Духовницкий п Духовницкое ул Чернышевского
Саратовская область,Духовницкий,п,Духовницкое,ул,Шевелева,Саратовская область Духовницкий п Духовницкое ул Шевелева
Саратовская область,Духовницкий,п,Духовницкое,ул,Юбилейная,Саратовская область Духовницкий п Духовницкое ул Юбилейная
Саратовская область,Екатериновский,п,Екатериновка,ул,50 лет Октября,Саратовская область Екатериновский п Екатериновка ул 50 лет Октября
Саратовская область,Екатериновский,п,Екатериновка,ул,8 Марта,Саратовская область Екатериновский п Екатериновка ул 8 Марта
Саратовская область,Екатериновский,п,Екатериновка,п,Газовиков,Саратовская область Екатериновский п Екатериновка п Газовиков
Саратовская область,Екатериновский,п,Екатериновка,ул,Железнодорожная,Саратовская область Екатериновский п Екатериновка ул Железнодорожная
Саратовская область,Екатериновский,п,Екатериновка,ул,Калининская,Саратовская область Екатериновский п Екатериновка ул Калининская
Саратовская область,Екатериновский,п,Екатериновка,ул,Кооперативная,Саратовская область Екатериновский п Екатериновка ул Кооперативная
Саратовская область,Екатериновский,п,Екатериновка,ул,Луговая,Саратовская область Екатериновский п Екатериновка ул Луговая
Саратовская область,Екатериновский,п,Екатериновка,ул,Мичуринская,Саратовская область Екатериновский п Екатериновка ул Мичуринская
Саратовская область,Екатериновский,п,Екатериновка,ул,Молодежная,Саратовская область Екатериновский п Екатериновка ул Молодежная
Саратовская область,Екатериновский,п,Екатериновка,ул,Пушкинская,Саратовская область Екатериновский п Екатериновка ул Пушкинская
Саратовская область,Екатериновский,п,Екатериновка,ул,Садовая,Саратовская область Екатериновский п Екатериновка ул Садовая
Саратовская область,Воскресенский,с,Елшанка,ул,Газовиков,Саратовская область Воскресенский с Елшанка ул Газовиков
Саратовская область,Аткарсткий,г,Аткарск,ул,Советская,Саратовская область Аткарский г Аткарск ул Советская
Саратовская область,Турковский,п,Турки,ул,Железнодорожная,Саратовская область Турковский п Турки ул Железнодорожная
Саратовская область,Аткарский,п,Сазоново,ул,Северная,Саратовская область Аткарский п Сазоново ул Северная
Саратовская область,Аткарский,п,Тургенево,ул,Родниковая,Саратовская область Аткарский п Тургенево ул Родниковая
Саратовская область,Аткарсткий,г,Аткарск,ул,Чапаева,Саратовская область Аткарский г Аткарск ул Чапаева
Саратовская область,Калининский,г,Калининск,ул,50 лет Октября,Саратовская область Калининский г Калининск ул 50 лет Октября
Саратовская область,Калининский,г,Калининск,ул,Советская,Саратовская область Калининский г Калининск ул Советская
Саратовская область,Татищевский,п,Светлый,ул,Гагарина,Саратовская область NULL п Светлый ул Гагарина
Саратовская область,Татищевский,п,Светлый,ул,Кузнецова,Саратовская область NULL п Светлый ул Кузнецова
Саратовская область,Аткарсткий,г,Аткарск,ул,Гончарова,Саратовская область Аткарский г Аткарск ул Гончарова
Саратовская область,Романовский,п,Романовка,ул,Ленина,Саратовская область Романовский п Романовка ул Ленина
Саратовская область,Аткарсткий,г,Аткарск,ул,Рабочая,Саратовская область Аткарский г Аткарск ул Рабочая
Саратовская область,Лысогорский,п,Лысые Горы,ул,Железнодорожная,Саратовская область Лысогорский п Лысые Горы ул Железнодорожная
Саратовская область,Аткарсткий,г,Аткарск,тер,Сельхозтехники,Саратовская область Аткарский г Аткарск тер Сельхозтехники
Саратовская область,Базарно-Карабулакский,с,Хватовка,ул,Заводской поселок,Саратовская область Базарно-Карабулакский с Хватовка ул Заводской поселок
Саратовская область,Татищевский,п,Светлый,ул,Коваленко,Саратовская область NULL п Светлый ул Коваленко
Саратовская область,Базарно-Карабулакский,п,Базарный Карабулак,ул,Халтурина,Саратовская область Базарно-Карабулакский п Базарный Карабулак ул Халтурина
Саратовская область,Калининский,г,Калининск,ул,им Богдана Хмельницкого,Саратовская область Калининский г Калининск ул им Богдана Хмельницкого
Саратовская область,Лысогорский,п,Лысые Горы,ул,Первомайская,Саратовская область Лысогорский п Лысые Горы ул Первомайская
Саратовская область,Базарно-Карабулакский,п,Свободный,ул,Советская,Саратовская область Базарно-Карабулакский п Свободный ул Советская
Саратовская область,Аткарсткий,г,Аткарск,ул,Железнодорожная,Саратовская область Аткарский г Аткарск ул Железнодорожная
Саратовская область,Аткарский,д,Ершовка,ул,Центральная,Саратовская область Аткарский д Ершовка ул Центральная
Саратовская область,Базарно-Карабулакский,п,Базарный Карабулак,ул,Ленина,Саратовская область Базарно-Карабулакский п Базарный Карабулак ул Ленина
Саратовская область,Аткарский,п,Сазоново,ул,Южная,Саратовская область Аткарский п Сазоново ул Южная
Саратовская область,Аткарский,п,Тургенево,ул,Подгорная,Саратовская область Аткарский п Тургенево ул Подгорная
Саратовская область,Аткарсткий,г,Аткарск,ул,Тургенева,Саратовская область Аткарский г Аткарск ул Тургенева
Саратовская область,Калининский,г,Калининск,ул,Коллективная,Саратовская область Калининский г Калининск ул Коллективная
Саратовская область,Базарно-Карабулакский,п,Базарный Карабулак,ул,Пионерская,Саратовская область Базарно-Карабулакский п Базарный Карабулак ул Пионерская
Саратовская область,Турковский,п,Турки,ул,Свердлова,Саратовская область Турковский п Турки ул Свердлова
Саратовская область,Аткарсткий,г,Аткарск,ул,Коммунистическая,Саратовская область Аткарский г Аткарск ул Коммунистическая
Саратовская область,Аткарсткий,г,Аткарск,ул,Ленина,Саратовская область Аткарский г Аткарск ул Ленина
Саратовская область,Калининский,г,Калининск,мкр,1-й,Саратовская область Калининский г Калининск мкр 1-й
Саратовская область,Калининский,г,Калининск,тер,ЦРБ,Саратовская область Калининский г Калининск тер ЦРБ
Саратовская область,Базарно-Карабулакский,п,Свободный,ул,Калинина,Саратовская область Базарно-Карабулакский п Свободный ул Калинина
Саратовская область,Романовский,п,Романовка,ул,Заводская 2-я,Саратовская область Романовский п Романовка ул Заводская 2-я
Саратовская область,Базарно-Карабулакский,п,Базарный Карабулак,ул,Чапаева,Саратовская область Базарно-Карабулакский п Базарный Карабулак ул Чапаева
Саратовская область,Калининский,г,Калининск,ул,им Ленина,Саратовская область Калининский г Калининск ул им Ленина
Саратовская область,Калининский,г,Калининск,пер,Железнодорожный,Саратовская область Калининский г Калининск пер Железнодорожный
Саратовская область,Калининский,г,Калининск,ул,Заводская,Саратовская область Калининский г Калининск ул Заводская
Саратовская область,Калининский,г,Калининск,ул,Новая,Саратовская область Калининский г Калининск ул Новая
Саратовская область,Романовский,п,Романовка,ул,Береговая,Саратовская область Романовский п Романовка ул Береговая
Саратовская область,Калининский,г,Калининск,ул,Первомайская,Саратовская область Калининский г Калининск ул Первомайская
Саратовская область,Базарно-Карабулакский,п,Базарный Карабулак,ул,Некрасова,Саратовская область Базарно-Карабулакский п Базарный Карабулак ул Некрасова
Саратовская область,Аткарский,с,Кочетовка,ул,50 лет ВЛКСМ,Саратовская область Аткарский с Кочетовка ул 50 лет ВЛКСМ
Саратовская область,Базарно-Карабулакский,п,Базарный Карабулак,пер,Рабочий,Саратовская область Базарно-Карабулакский п Базарный Карабулак пер Рабочий
Саратовская область,Аткарсткий,г,Аткарск,ул,Локомотивная,Саратовская область Аткарский г Аткарск ул Локомотивная
Саратовская область,Аткарский,с,Елизаветино,ул,Рабочая,Саратовская область Аткарский с Елизаветино ул Рабочая
Саратовская область,Романовский,п,Романовка,ул,Набережная,Саратовская область Романовский п Романовка ул Набережная
Саратовская область,Базарно-Карабулакский,п,Базарный Карабулак,ул,Радищева,Саратовская область Базарно-Карабулакский п Базарный Карабулак ул Радищева
Саратовская область,Базарно-Карабулакский,п,Базарный Карабулак,ул,Революции,Саратовская область Базарно-Карабулакский п Базарный Карабулак ул Революции
Саратовская область,Турковский,п,Турки,ул,Советская,Саратовская область Турковский п Турки ул Советская
Саратовская область,Базарно-Карабулакский,п,Базарный Карабулак,ул,Ипподромная,Саратовская область Базарно-Карабулакский п Базарный Карабулак ул Ипподромная
Саратовская область,Калининский,г,Калининск,ул,им Чиркина,Саратовская область Калининский г Калининск ул им Чиркина
Саратовская область,Аткарсткий,г,Аткарск,ул,30 лет Победы,Саратовская область Аткарский г Аткарск ул 30 лет Победы
Саратовская область,Калининский,г,Калининск,тер,Элеватора,Саратовская область Калининский г Калининск тер Элеватора
Саратовская область,Базарно-Карабулакский,п,Базарный Карабулак,ул,Луначарского,Саратовская область Базарно-Карабулакский п Базарный Карабулак ул Луначарского
Саратовская область,Аткарсткий,г,Аткарск,ул,Революционная,Саратовская область Аткарский г Аткарск ул Революционная
Саратовская область,Аткарсткий,г,Аткарск,ул,Тимирязева,Саратовская область Аткарский г Аткарск ул Тимирязева
Саратовская область,Лысогорский,п,Лысые Горы,пл,50 лет Октября,Саратовская область Лысогорский п Лысые Горы пл 50 лет Октября
Саратовская область,Аткарсткий,г,Аткарск,ул,Саратовская,Саратовская область Аткарский г Аткарск ул Саратовская
Саратовская область,Аткарсткий,г,Аткарск,проезд,Волгоградский,Саратовская область Аткарский г Аткарск проезд Волгоградский
Саратовская область,Базарно-Карабулакский,п,Базарный Карабулак,ул,Чернышевского,Саратовская область Базарно-Карабулакский п Базарный Карабулак ул Чернышевского
Саратовская область,Базарно-Карабулакский,п,Базарный Карабулак,ул,Коммунистическая,Саратовская область Базарно-Карабулакский п Базарный Карабулак ул Коммунистическая
Саратовская область,Калининский,г,Калининск,ул,им Некрасова,Саратовская область Калининский г Калининск ул им Некрасова
Саратовская область,Аткарсткий,г,Аткарск,ул,Пушкина,Саратовская область Аткарский г Аткарск ул Пушкина
Саратовская область,Калининский,г,Калининск,ул,Коммунальная,Саратовская область Калининский г Калининск ул Коммунальная
Саратовская область,Аткарсткий,г,Аткарск,ул,Аткарская,Саратовская область Аткарский г Аткарск ул Аткарская
Саратовская область,Аткарсткий,г,Аткарск,ул,Серова,Саратовская область Аткарский г Аткарск ул Серова
Саратовская область,Татищевский,п,Светлый,ул,Ленинская,Саратовская область NULL п Светлый ул Ленинская
Саратовская область,Аткарсткий,г,Аткарск,ул,Талалихина,Саратовская область Аткарский г Аткарск ул Талалихина
Саратовская область,Турковский,с,Перевесинка,ул,Высокая,Саратовская область Турковский с Перевесинка ул Высокая
Саратовская область,Аткарский,с,Елизаветино,ул,Советская,Саратовская область Аткарский с Елизаветино ул Советская
Саратовская область,Базарно-Карабулакский,с,Сухой Карабулак,ул,Станционная,Саратовская область Базарно-Карабулакский с Сухой Карабулак ул Станционная
Саратовская область,Калининский,г,Калининск,пер,Поликлинический,Саратовская область Калининский г Калининск пер Поликлинический
Саратовская область,Аткарсткий,г,Аткарск,ул,Гоголя,Саратовская область Аткарский г Аткарск ул Гоголя
Саратовская область,Базарно-Карабулакский,п,Базарный Карабулак,ул,Топольчанская,Саратовская область Базарно-Карабулакский п Базарный Карабулак ул Топольчанская
Саратовская область,Красноармейский,с,Каменка,ул,Молодежная,Саратовская область Турковский с Каменка ул Молодежная
Саратовская область,Лысогорский,п,Лысые Горы,ул,Луговая,Саратовская область Лысогорский п Лысые Горы ул Луговая
Саратовская область,Аткарсткий,г,Аткарск,ул,Верхне-красавская,Саратовская область Аткарский г Аткарск ул Верхне-красавская
Саратовская область,Романовский,п,Романовка,ул,Мира,Саратовская область Романовский п Романовка ул Мира
Саратовская область,Аткарсткий,г,Аткарск,проезд,Вокзальный,Саратовская область Аткарский г Аткарск проезд Вокзальный
Саратовская область,Базарно-Карабулакский,п,Свободный,ул,Куйбышева,Саратовская область Базарно-Карабулакский п Свободный ул Куйбышева
